ICMR 1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global communications revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data derived from  various sources: PwC Global Entertainment and Media Outlook 2014-2018 @ www.pwc.com/outlook for television and radio revenues (both include advertising, license fees and subscription services only), Wik Consult / Ofcom estimates for postal revenues. IHS / industry data / Ofcom for telecoms revenues, which refer to retail revenues for fixed voice, broadband and mobile services. Interpretation and manipulation of data are solely Ofcom's responsibility. Ofcom has used IMF 2013 average exchange rates in converting from local currency to GBP.Note: Postal revenues are for our 17 comparator countries only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(£bn),2008,2009,2010,2011,2012,2013,CAGR,YoY,,,,,,,,,,,,,,,,,,,,,
CHN,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
NGA,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change in average weekly listening hours: 2008 - 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,-0.006748097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,-0.172043011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,-0.091374893,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,0.056634304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,-0.142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,0.272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,-0.299582463,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,0.028409091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,0.050847458,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,-0.011111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,-0.03113325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use of a smartphone / mobile phone to consume audio content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All respondents with a mobile phone/ smartphone (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014Base: All respondents with a mobile phone/ smartphone, UK=827, FRA=797, GER=861, ITA=890, USA=748, JPN=801, AUS=869, ESP=866, CHN=853Q.9d Which, if any, of the following audio activities do you use each of your devices for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Listening to music I own,Listening to the radio,Listening to streaming audio,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,31,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,29,19,13,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,33,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,46,34,24,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,30,15,24,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,29,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,37,18,16,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,53,35,20,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,61,35,39,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency of listening to music on a mobile phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of mobile phone users (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: comScore MobiLens, August 2014 (three-month average, mobile phone users aged 13+)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,At least weekly,At least monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,20.39,31.497,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,15.489,26.108,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,16.358,27.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,18.869,33.068,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,24.523,36.456,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,8.36,15.232,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,22.38,35.578,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source of music listened to on a mobile phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of mobile phone users (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: comScore MobiLens, August 2014 (3 month average, mobile phone users aged 13+)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Downloaded from music service,Streaming music service,Transferred from PC,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,13.896,10.945,16.02,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,8.088,10.203,15.109,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,8.731,8.773,17.178,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,10.699,10.049,18.885,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,15.17,22.311,13.873,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,4.63,1.892,8.912,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,13.241,13.418,18.153,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency of downloading/streaming music on mobile phone (4G vs non-4G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At least weekly use of downloading/streaming music on a mobile phone (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014Base: All respondents with 4G mobile broadband internet access or those who access the internet access via a mobile handset; UK=81, FRA=99, GER=54, ITA=83, USA=136, JPN=93, AUS=164, ESP=113, CHN=132; All respondents with non-4G mobile broadband internet access or those who access the internet access via a mobile handset; UK=252, FRA=261, GER=315, ITA=562, USA=138, JPN=140, AUS=282, ESP=491, CHN=431 Q.27 How often, if at all, do you use your main mobile phone to do each of the following?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4G network,Non-4G network,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,39,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,35,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,35,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,51,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,52,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,30,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,34,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,44,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,75,53,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Proportion of adults using radio as their main source of news, by country",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At least weekly use of downloading/streaming music on a mobile phone (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014Base: All respondents, UK=1011, FRA=1027, GER=1006, ITA=1006, USA=1000, JPN=1003, AUS=1000, ESP=1002, CHN=1010 Q.11 Which, if any, is your main source for the following information?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,News about your region/ locality,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,News about your country,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,News about the world,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet and web-based content: key international statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,NED,SWE,POL,SGP,KOR,BRA,RUS,IND,CHN,NGA,,,,,,,,,,,
Online universe (m)*,39.2,37,52,30.9,197.4,73.7,15.9,23.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,
Fixed broadband connections per 100 HH†,85,88,71,55,75,85,72,70,91,70,57,108,101,32,45,6,42,0,,,,,,,,,,,
Mobile broadband connections per 100 population†,8,6,10,13,8,10,26,4,7,23,11,3,5,3,13,0,1,3,,,,,,,,,,,
Internet access via a mobile phone(%)‡,55,47,53,75,46,56,60,74,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,79,n/a,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IHS / Industry data / Ofcom / comScore*comScore MMX, August 2014, home and work panel, persons 15+† IHS / Industry data / Ofcom, 2014.‡Ofcom international research, September 2014, all respondents 18+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet share of total advertising spend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet share of all advertising spend (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,NED,SWE,AUS,KOR,FRA,USA,POL,GER,ITA,ESP,JPN,SGP,,,,,,,,,,,,,,,,
2004,6.10%,1.90%,7.20%,4.20%,#N/A,1.70%,6.30%,1.70%,1.90%,1.40%,1.50%,3.30%,#N/A,,,,,,,,,,,,,,,,
2005,9.70%,4.80%,9.80%,6.20%,#N/A,2.40%,7.80%,2.50%,2.20%,1.60%,2.40%,6.40%,#N/A,,,,,,,,,,,,,,,,
2006,14.10%,13.80%,13.30%,9.60%,#N/A,5.80%,10.10%,3.40%,9.60%,5.30%,4.20%,8.20%,#N/A,,,,,,,,,,,,,,,,
2007,18.50%,16.60%,16.80%,11.60%,14.50%,11.60%,12.70%,8.20%,13.00%,7.00%,6.20%,10.30%,1.30%,,,,,,,,,,,,,,,,
2008,22.60%,18.40%,19.50%,14.30%,16.20%,13.80%,14.90%,11.30%,15.50%,8.30%,9.00%,12.70%,2.30%,,,,,,,,,,,,,,,,
2009,27.00%,21.80%,23.10%,17.10%,20.40%,15.30%,17.20%,19.40%,17.80%,10.00%,11.80%,14.50%,4.30%,,,,,,,,,,,,,,,,
2010,28.70%,26.90%,25.30%,18.50%,21.40%,17.20%,18.20%,17.80%,19.50%,12.00%,14.10%,16.20%,5.70%,,,,,,,,,,,,,,,,
2011,32.60%,28.40%,26.60%,22.80%,22.10%,20.50%,21.60%,22.30%,21.90%,14.70%,16.70%,16.80%,7.60%,,,,,,,,,,,,,,,,
2012,36.10%,31.10%,30.90%,27.20%,24.40%,22.40%,23.20%,26.80%,24.10%,18.20%,19.30%,17.40%,9.50%,,,,,,,,,,,,,,,,
2013,40.10%,34.60%,32.40%,29.70%,28.50%,27.80%,27.00%,26.50%,25.00%,23.50%,21.10%,18.50%,11.30%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Warc data (www.warc.com)Please refer to notes on adspend data for further detail and source information. http://www.warc.com/NotesOnAdspendData Note: Data for South Korea and Singapore is only available from 2007 onwards.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed internet advertising expenditure per head: 2008-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet advertising spend per head (GBP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,2010,2011,2012,2013,,,,,,,,,,,,,,,,,,,,,,,
UK,UK,£54.55,£61.92,£70.48,£74.81,£79.95,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,£22.12,£23.72,£29.19,£33.67,£38.03,,,,,,,,,,,,,,,,,,,,,,,
Germany,GER,£34.23,£38.59,£42.35,£47.24,£51.42,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,£10.17,£12.14,£15.05,£16.81,£18.54,,,,,,,,,,,,,,,,,,,,,,,
USA,USA,£46.88,£53.00,£62.44,£68.28,£72.86,,,,,,,,,,,,,,,,,,,,,,,
Japan,JPN,£28.35,£30.97,£32.51,£34.63,£37.11,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,£51.00,£62.45,£74.32,£82.96,£97.68,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,£11.38,£13.55,£15.22,£14.84,£15.95,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,NED,£40.55,£48.49,£54.01,£58.38,£62.68,,,,,,,,,,,,,,,,,,,,,,,
Sweden,SWE,£43.18,£54.79,£62.85,£72.27,£85.02,,,,,,,,,,,,,,,,,,,,,,,
Poland,POL,£6.49,£7.56,£9.24,£10.13,£11.18,,,,,,,,,,,,,,,,,,,,,,,
Singapore,SGP,£6.54,£9.29,£12.67,£14.95,£17.27,,,,,,,,,,,,,,,,,,,,,,,
South Korea,KOR,£18.14,£19.63,£22.81,£29.22,£33.22,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,£2.10,£2.49,£3.13,£3.87,£4.77,,,,,,,,,,,,,,,,,,,,,,,
Russia,RUS,£2.33,£3.88,£5.75,£7.60,£9.54,,,,,,,,,,,,,,,,,,,,,,,
India,IND,£0.06,£0.08,£0.10,£0.14,£0.17,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,£1.24,£2.02,£3.36,£4.37,£5.67,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,NGA,£0.02,£0.03,£0.05,£0.06,£0.07,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom analysis based on data from PwC Global Entertainment and Media Outlook 2014-2018 @ pwc.com/outlook. Interpretation and manipulation of data are solely Ofcom’s responsibility.
Population figures from Ofcom/IHS 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fixed internet advertising expenditure, by category: 2011-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of internet advertising revenue (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Year,Search,Display,Classified,Video,,,,,,,,,,,,,,,,,,,,,,,,
UK,2012,55.33,24.36,16.6,3.71,,,,,,,,,,,,,,,,,,,,,,,,
,2013,55.28,23.15,16.77,4.8,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2012,39.74,26.49,28.86,4.92,,,,,,,,,,,,,,,,,,,,,,,,
,2013,40.71,26.03,27.84,5.42,,,,,,,,,,,,,,,,,,,,,,,,
GER,2012,50.17,27.09,18.87,3.88,,,,,,,,,,,,,,,,,,,,,,,,
,2013,49.93,27.19,18.47,4.41,,,,,,,,,,,,,,,,,,,,,,,,
ITA,2012,35.48,43.6,13.98,6.94,,,,,,,,,,,,,,,,,,,,,,,,
,2013,35.58,43.19,13.1,8.14,,,,,,,,,,,,,,,,,,,,,,,,
USA,2012,50.95,34.72,7.32,7.02,,,,,,,,,,,,,,,,,,,,,,,,
,2013,51.45,33.48,7.27,7.8,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2012,32.19,40.32,27.21,0.27,,,,,,,,,,,,,,,,,,,,,,,,
,2013,32.74,40.76,25.99,0.51,,,,,,,,,,,,,,,,,,,,,,,,
AUS,2012,51.12,24.78,21.22,2.88,,,,,,,,,,,,,,,,,,,,,,,,
,2013,50.66,25.61,19.65,4.08,,,,,,,,,,,,,,,,,,,,,,,,
ESP,2012,56.13,31.05,9.12,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,2013,55.26,31.29,9.05,4.39,,,,,,,,,,,,,,,,,,,,,,,,
NED,2012,54.67,26.15,17.03,2.15,,,,,,,,,,,,,,,,,,,,,,,,
,2013,57.75,25.02,15.03,2.19,,,,,,,,,,,,,,,,,,,,,,,,
SWE,2012,34.16,34.16,29.94,1.74,,,,,,,,,,,,,,,,,,,,,,,,
,2013,34.15,33.91,29.12,2.83,,,,,,,,,,,,,,,,,,,,,,,,
POL,2012,35.92,44.19,16.54,3.36,,,,,,,,,,,,,,,,,,,,,,,,
,2013,36.3,42.86,16.39,4.45,,,,,,,,,,,,,,,,,,,,,,,,
SGP,2012,34.18,49.37,13.92,2.53,,,,,,,,,,,,,,,,,,,,,,,,
,2013,33.33,48.39,15.05,3.23,,,,,,,,,,,,,,,,,,,,,,,,
KOR,2012,32.45,48.36,18.63,0.56,,,,,,,,,,,,,,,,,,,,,,,,
,2013,32.38,47.71,18.2,1.71,,,,,,,,,,,,,,,,,,,,,,,,
BRA,2012,62.16,25.23,11.05,1.56,,,,,,,,,,,,,,,,,,,,,,,,
,2013,62.03,25,10.36,2.62,,,,,,,,,,,,,,,,,,,,,,,,
RUS,2012,68.72,23.09,6.35,1.84,,,,,,,,,,,,,,,,,,,,,,,,
,2013,68.09,23.7,5.87,2.35,,,,,,,,,,,,,,,,,,,,,,,,
IND,2012,41.67,36.31,17.26,4.76,,,,,,,,,,,,,,,,,,,,,,,,
,2013,41.4,35.81,17.21,5.58,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2012,44.63,32.22,19.91,3.24,,,,,,,,,,,,,,,,,,,,,,,,
,2013,44.53,32.22,19.77,3.47,,,,,,,,,,,,,,,,,,,,,,,,
NGA,2012,60,30,10,0,,,,,,,,,,,,,,,,,,,,,,,,
,2013,61.54,30.77,7.69,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom analysis based on data from PwC Global Entertainment and Media Outlook 2014-2018 @ pwc.com/outlook. Interpretation and manipulation of data are solely Ofcom’s responsibility.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile advertising expenditure per head: 2009-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet advertising spend per head (GBP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,2010,2011,2012,2013,,,,,,,,,,,,,,,,,,,,,,,
UK,UK,£0.62,£1.25,£3.15,£8.07,£15.85,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,£0.22,£0.31,£0.42,£0.63,£0.84,,,,,,,,,,,,,,,,,,,,,,,
Germany,GER,£0.40,£0.54,£0.92,£1.35,£2.23,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,£0.17,£0.34,£0.72,£1.12,£1.37,,,,,,,,,,,,,,,,,,,,,,,
USA,USA,£0.79,£1.34,£3.31,£6.93,£14.46,,,,,,,,,,,,,,,,,,,,,,,
Japan,JPN,£4.85,£5.66,£5.52,£6.35,£7.73,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,£0.24,£0.37,£0.72,£2.14,£8.47,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,£0.14,£0.17,£0.29,£0.45,£0.54,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,NED,£0.10,£0.31,£0.40,£0.46,£0.54,,,,,,,,,,,,,,,,,,,,,,,
Sweden,SWE,£0.75,£1.19,£1.71,£2.58,£3.25,,,,,,,,,,,,,,,,,,,,,,,
Poland,POL,£0.00,£0.01,£0.03,£0.05,£0.05,,,,,,,,,,,,,,,,,,,,,,,
Singapore,SGP,£0.23,£0.47,£0.95,£1.66,£2.07,,,,,,,,,,,,,,,,,,,,,,,
South Korea,KOR,£3.37,£4.17,£5.64,£7.31,£9.08,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,£0.01,£0.02,£0.02,£0.03,£0.04,,,,,,,,,,,,,,,,,,,,,,,
Russia,RUS,£0.03,£0.07,£0.12,£0.20,£0.29,,,,,,,,,,,,,,,,,,,,,,,
India,IND,£0.00,£0.00,£0.00,£0.00,£0.00,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,£0.10,£0.19,£0.37,£0.51,£0.72,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,NGA,£0.00,£0.02,£0.03,£0.05,0.070610118,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom analysis based on data from PwC Global Entertainment and Media Outlook 2014-2018 @ pwc.com/outlook. Interpretation and manipulation of data are solely Ofcom’s responsibility.
Population figures from Ofcom/IHS 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapped on an advert in a mobile browser or application in the past month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile internet users (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,13-Aug,14-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
